usine,produit,quantité,date,quantité_stock,quantite_expedié
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,30,2021-01-01,33,23
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,26,2021-01-01,40,22
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,24,2021-01-01,36,21
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,40,2021-01-01,44,36
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,30,4
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,25,5
Entonova Brest Bioproduction Plant,Huile d'insectes,7,2021-01-01,26,6
Entonova Brest Bioproduction Plant,Huile d'insectes,31,2021-01-01,32,25
Entonova Brest Bioproduction Plant,Huile d'insectes,31,2021-01-01,39,24
Entonova Brest Bioproduction Plant,Huile d'insectes,28,2021-01-01,44,23
Entonova Brest Bioproduction Plant,Huile d'insectes,30,2021-01-01,52,22
Entonova Brest Bioproduction Plant,Huile d'insectes,26,2021-01-01,57,21
Entonova Brest Bioproduction Plant,Huile d'insectes,25,2021-01-01,62,20
Entonova Brest Bioproduction Plant,Huile d'insectes,21,2021-01-01,64,19
Entonova Brest Bioproduction Plant,Huile d'insectes,21,2021-01-01,67,18
Entonova Brest Bioproduction Plant,Huile d'insectes,23,2021-01-01,73,17
Entonova Brest Bioproduction Plant,Huile d'insectes,21,2021-01-01,78,16
Entonova Brest Bioproduction Plant,Huile d'insectes,7,2021-01-01,70,15
Entonova Brest Bioproduction Plant,Huile d'insectes,5,2021-01-01,61,14
Entonova Brest Bioproduction Plant,Huile d'insectes,9,2021-01-01,57,13
Entonova Brest Bioproduction Plant,Huile d'insectes,8,2021-01-01,53,12
Entonova Brest Bioproduction Plant,Huile d'insectes,15,2021-01-01,57,11
Entonova Brest Bioproduction Plant,Huile d'insectes,8,2021-01-01,55,10
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,46,9
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,38,8
Entonova Brest Bioproduction Plant,Huile d'insectes,2,2021-01-01,33,7
Entonova Brest Bioproduction Plant,Huile d'insectes,35,2021-01-01,41,27
Entonova Rotterdam Processing Hub,Barres protéinées,12,2021-01-01,38,10
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,16,2021-01-01,24,14
Entonova Rotterdam Processing Hub,Barres protéinées,10,2021-01-01,40,8
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,31,0
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,6,2021-01-01,25,5
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,21,4
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,18,3
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,16,2
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,15,1
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,15,0
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,36,2021-01-01,47,31
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,30,1
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,35,2021-01-01,54,28
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,29,2021-01-01,33,26
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,28,2021-01-01,57,25
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,30,2021-01-01,64,23
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,25,2021-01-01,36,22
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,27,2021-01-01,70,21
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,25,2021-01-01,41,20
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,25,2021-01-01,47,19
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,23,2021-01-01,75,18
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,32,2021-01-01,52,27
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,50,2
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,47,3
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,71,4
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,43,1
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,43,0
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,31,2021-01-01,78,24
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,26,2021-01-01,53,20
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,23,2021-01-01,57,19
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,21,2021-01-01,60,18
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,22,2021-01-01,65,17
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,19,2021-01-01,68,16
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,17,2021-01-01,70,15
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,10,2021-01-01,66,14
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,65,13
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,54,12
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,5,2021-01-01,59,11
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,1,2021-01-01,50,10
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,6,2021-01-01,51,9
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,42,8
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,44,7
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,36,6
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,31,5
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,22,2021-01-01,36,17
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,40,3
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,22,2021-01-01,50,16
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,19,2021-01-01,55,14
Entonova Kraków Insect Farm,Insectes en vrac,16,2021-01-01,4,12
Entonova Kraków Insect Farm,Insectes en vrac,12,2021-01-01,5,11
Entonova Kraków Insect Farm,Insectes en vrac,13,2021-01-01,8,10
Entonova Brest Bioproduction Plant,Insectes en vrac,10,2021-01-01,3,8
Entonova Kraków Insect Farm,Insectes en vrac,9,2021-01-01,10,7
Entonova Kraków Insect Farm,Insectes en vrac,7,2021-01-01,11,6
Entonova Brest Bioproduction Plant,Insectes en vrac,5,2021-01-01,3,5
Entonova Kraków Insect Farm,Insectes en vrac,5,2021-01-01,12,4
Entonova Kraków Insect Farm,Insectes en vrac,14,2021-01-01,13,13
Entonova Kraków Insect Farm,Insectes en vrac,2,2021-01-01,12,3
Entonova Brest Bioproduction Plant,Insectes en vrac,1,2021-01-01,3,1
Entonova Kraków Insect Farm,Insectes en vrac,0,2021-01-01,12,0
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2021-01-01,31,5
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2021-01-01,27,4
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,37,3
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,35,2
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,34,1
Entonova Rotterdam Processing Hub,Barres protéinées,10,2021-01-01,41,9
Entonova Brest Bioproduction Plant,Insectes en vrac,2,2021-01-01,3,2
Entonova Kraków Insect Farm,Insectes en vrac,16,2021-01-01,14,14
Entonova Kraków Insect Farm,Insectes en vrac,20,2021-01-01,19,15
Entonova Kraków Insect Farm,Insectes en vrac,21,2021-01-01,24,16
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,16,2021-01-01,58,13
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,16,2021-01-01,40,12
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,2,2021-01-01,49,11
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,12,2021-01-01,42,10
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,11,2021-01-01,44,9
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,1,2021-01-01,37,8
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,42,7
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,31,6
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,26,5
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,38,4
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,35,3
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,24,2
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,34,1
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,34,0
Entonova Kraków Insect Farm,Insectes en vrac,30,2021-01-01,32,22
Entonova Kraków Insect Farm,Insectes en vrac,27,2021-01-01,38,21
Entonova Brest Bioproduction Plant,Insectes en vrac,24,2021-01-01,7,20
Entonova Brest Bioproduction Plant,Insectes en vrac,23,2021-01-01,12,18
Entonova Brest Bioproduction Plant,Insectes en vrac,22,2021-01-01,17,17
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,18,2021-01-01,37,15
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2021-01-01,23,4
Entonova Kraków Insect Farm,Insectes en vrac,10,2021-01-01,39,9
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,8,2021-01-01,24,7
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,27,2021-01-01,39,25
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,33,2021-01-01,48,24
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,28,2021-01-01,54,22
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,22,2021-01-01,26,20
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,24,2021-01-01,31,19
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,18,2021-01-01,55,17
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,21,2021-01-01,60,16
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,20,2021-01-01,65,15
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,32,2021-01-01,36,27
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,19,2021-01-01,70,14
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,59,11
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,50,9
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,9,2021-01-01,37,8
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,3,2021-01-01,33,7
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,44,6
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,29,4
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,41,3
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,28,1
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,16,2021-01-01,45,12
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,37,2021-01-01,37,28
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,33,2021-01-01,48,30
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,42,2021-01-01,47,32
Entonova Rotterdam Processing Hub,Barres protéinées,0,2021-01-01,34,7
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,7,2021-01-01,25,6
Entonova Rotterdam Processing Hub,Barres protéinées,1,2021-01-01,29,6
Entonova Rotterdam Processing Hub,Barres protéinées,0,2021-01-01,24,5
Entonova Rotterdam Processing Hub,Barres protéinées,1,2021-01-01,21,4
Entonova Rotterdam Processing Hub,Barres protéinées,0,2021-01-01,18,3
Entonova Rotterdam Processing Hub,Barres protéinées,0,2021-01-01,16,2
Entonova Rotterdam Processing Hub,Barres protéinées,0,2021-01-01,15,1
Entonova Rotterdam Processing Hub,Barres protéinées,0,2021-01-01,15,0
Entonova Brest Bioproduction Plant,Insectes en vrac,3,2021-01-01,16,4
Entonova Kraków Insect Farm,Insectes en vrac,0,2021-01-01,36,3
Entonova Kraków Insect Farm,Insectes en vrac,0,2021-01-01,34,2
Entonova Kraków Insect Farm,Insectes en vrac,0,2021-01-01,33,1
Entonova Brest Bioproduction Plant,Insectes en vrac,0,2021-01-01,16,0
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,58,2021-01-01,61,44
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,54,2021-01-01,75,40
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,51,2021-01-01,61,38
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,46,2021-01-01,86,35
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,39,2021-01-01,67,33
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,0,2021-01-01,67,0
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,30,2021-01-01,31,24
Entonova Kraków Insect Farm,Insectes en vrac,0,2021-01-01,28,5
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,25,2021-01-01,37,19
